info,img,link,classification
"A Eslováquia é o primeiro país da União Europeia a registrar oficialmente a ivermectina no tratamento contra a covid. A taxa de mortalidade em lares de idosos é de cerca de 30%. Depois de tratar residentes com ivermectina, essa taxa em uma série de casos caiu para cerca de 5%.",,https://www.aosfatos.org/noticias/e-falso-que-tratamento-com-ivermectina-diminuiu-mortalidade-por-covid-19-em-asilos-na-eslovaquia/,falso
"Em 28 de setembro de 2020 foi publicado um estudo na revista Clinical of Infectious Diseases (...) nesse trabalho eles avaliaram 3.970 pessoas que tiveram resultado de PCR positivo. E o que eles observaram é que quando você utiliza o PCR com mais de 35 ciclos nós temos apenas 3% de resultados confiáveis (...) ele produz 97% de falsos positivos (...) de cada 10 pessoas que foi colocado que morreram com ou de Covid, 9 nem o vírus tinham.",,https://www.aosfatos.org/noticias/medico-engana-ao-dizer-que-exame-rt-pcr-gera-97-de-falsos-positivos-para-covid-19/,falso
"César Tralli, jornalista da globolixo vive vociferando para o povo usar máscara, olha o naipe dele",https://static.aosfatos.org/media/cke_uploads/2021/02/03/tralliantiga1.jpg,https://www.aosfatos.org/noticias/foto-de-cesar-tralli-na-praia-nao-e-recente-mas-de-fevereiro-de-2014/,distorcido
"CONFIRMADO: A ONG WWF estava sim patrocinando o fogo na Amazônia. Teve quebra do sigilo telefônico e bancário dos incendiários da reserva de Alter do Chão. Divulguem esse vídeo, a imprensa não vai divulgar",https://static.aosfatos.org/media/cke_uploads/2021/02/02/naopatrocinou1.jpg,https://www.aosfatos.org/noticias/e-falso-que-policia-descobriu-que-WWF-Brasil-financiou-queimadas-no-para-em-2019/,falso
"A empresa Nestlé anunciou hoje através de seu departamento de relações institucionais e de relações públicas que, devido a grande repercussão de sua marca registrada leite condensado “MOÇA”, fará a doação de 8 mil caixas do produto às Forças Armadas que será distribuída em partes iguais entre as 3 forças de segurança nacional brasileira. Pela excelente campanha de propaganda divulgada em âmbito nacional, sua marca mundial sem custos à empresa. Ass. NESTLÉ DO BRASIL",,https://www.aosfatos.org/noticias/nestle-nao-doou-caixas-de-leite-condensado-para-forcas-armadas/,falso
"O Doria, que não recebe o apoio da prefeita de Bauru, avisou-lhe que não teriam vacinas para o município, nesta primeira etapa. Ela não teve dúvida, embarcou para Brasília, se encontrou com o ministro da Ciência e tecnologia, que é Bauruense. Foram ao gabinete da ministra da Agricultura e também ao da ministra Damares. Todos juntos, ela com apenas 28 anos, foram ao Palácio do Governo, falaram com o Bolsonaro e exigiu vacinas para o seu município e para os municípios vizinhos. Resultado, ontem mesmo chegaram vacinas de Oxford para Bauru, Piratininga, Arealva, Duartina, Tibiriçá, Avaí e Lucianópolis",https://static.aosfatos.org/media/cke_uploads/2021/01/29/vacinabauru1.jpg,https://www.aosfatos.org/noticias/e-falso-que-governo-de-sp-negou-o-envio-de-vacinas-ao-municipio-de-bauru/,falso
"Na Irlanda o Governo colocou este aviso eletrônico no pedágio, avisando a população: Vacinas podem causar paralisia. Tirem suas máscaras. Máscaras acumulam germes. Testes de covid são fraudulentos. 95% dos testes de covid dão falso positivo. Vacina não é segura. O HSE não cuida da sua saúde. O Covid é uma operação psicológica para quebrar a economia mundial.",,https://www.aosfatos.org/noticias/e-falso-que-governo-da-irlanda-instalou-aviso-eletronico-contra-uso-de-mascaras-testes-e-vacinas/,falso
"Peraí, na boa, DESCULPAS??? Quantas pessoas morreram do v1rus sh1nê1s POR TEREM ACREDITADO que a Hidroxicloroquina NÃO FUNCIONAVA contra o vírus??? Quantas pessoas morreram POR ACREDITAREM na OMS, em médicos, artistas, políticos, ""especialistas"", blogueiros, ""jornalistas"", TV, rádio, TODOS ESSES QUE DISSERAM QUE A HIDROXICLOROQUINA NÃO FUNCIONAVA E FAZIA MAL? Quem pagará PELA MORTE DESSAS PESSOAS? QUEM É MESMO O GENOCIDA???",,https://www.aosfatos.org/noticias/retratacao-em-estudo-sobre-hidroxicloroquina-nao-atesta-eficacia-da-droga-contra-covid-19/,distorcido
João Doria fazendo campanha com dinheiro público… Dinheiro de São Paulo no Mato Grosso... Quanto você acha que custa o aluguel para vários outdoors?,https://static.aosfatos.org/media/cke_uploads/2021/01/28/outdoorms1.jpg,https://www.aosfatos.org/noticias/outdoor-em-campo-grande-com-imagem-de-doria-nao-foi-pago-pelo-governo-paulista/,falso
Antônio Hamilton Martins Mourão VICE-PRESIDENTE DA REPÚBLICA FEDERATIVA DO BRASIL:Não vi nosso presidente proibir nem obrigar ninguém a se vacinar... Mas vi uma suprema corte decidir que quem não se vacinar perderá direitos… Não vi os laboratórios solicitarem aprovação do órgão técnico (ANVISA) para poderem comercializarem suas vacinas aqui... Mas os vi solicitarem que os governos assinem um termo que os isentem de responsabilidades se surgirem efeitos colaterais graves/desconhecidos (...) Entendam de uma vez por todas que Bolsonaro não é a melhor opção... Ele é a ÚNICA opção!!!,,https://www.aosfatos.org/noticias/nao-foi-escrito-por-mourao-texto-que-diz-que-bolsonaro-e-a-unica-opcao-dos-brasileiros/,falso
